tower/conv0 null 1 32,149,149,32 Conv
tower/conv1 0 2 32,147,147,32 Conv
tower/conv2 1 3 32,147,147,64 Conv
tower/pool1 2 4 32,73,73,64 Pool
tower/conv3 3 5 32,73,73,80 Conv
tower/conv4 4 6 32,71,71,192 Conv
tower/pool2 5 7,8,10,13 32,35,35,192 Pool
tower/mixed_35x35x256a/branch1x1/Conv 6 15 32,35,35,64 Conv
tower/mixed_35x35x256a/branch5x5/Conv 6 9 32,35,35,48 Conv
tower/mixed_35x35x256a/branch5x5/Conv_1 8 15 32,35,35,64 Conv
tower/mixed_35x35x256a/branch3x3dbl/Conv 6 11 32,35,35,64 Conv
tower/mixed_35x35x256a/branch3x3dbl/Conv_1 10 12 32,35,35,96 Conv
tower/mixed_35x35x256a/branch3x3dbl/Conv_2 11 15 32,35,35,96 Conv
tower/mixed_35x35x256a/branch_pool/AvgPool 6 14 32,35,35,192 AvgPool
tower/mixed_35x35x256a/branch_pool/Conv 13 15 32,35,35,32 Conv
tower/mixed_35x35x256a/concat 7,9,12,14 16,17,19,22 32,35,35,256 Concat
tower/mixed_35x35x288a/branch1x1/Conv 15 24 32,35,35,64 Conv
tower/mixed_35x35x288a/branch5x5/Conv 15 18 32,35,35,48 Conv
tower/mixed_35x35x288a/branch5x5/Conv_1 17 24 32,35,35,64 Conv
tower/mixed_35x35x288a/branch3x3dbl/Conv 15 20 32,35,35,64 Conv
tower/mixed_35x35x288a/branch3x3dbl/Conv_1 19 21 32,35,35,96 Conv
tower/mixed_35x35x288a/branch3x3dbl/Conv_2 20 24 32,35,35,96 Conv
tower/mixed_35x35x288a/branch_pool/AvgPool 15 23 32,35,35,256 AvgPool
tower/mixed_35x35x288a/branch_pool/Conv 22 24 32,35,35,64 Conv
tower/mixed_35x35x288a/concat 16,18,21,23 25,26,28,31 32,35,35,288 Concat
tower/mixed_35x35x288b/branch1x1/Conv 24 33 32,35,35,64 Conv
tower/mixed_35x35x288b/branch5x5/Conv 24 27 32,35,35,48 Conv
tower/mixed_35x35x288b/branch5x5/Conv_1 26 33 32,35,35,64 Conv
tower/mixed_35x35x288b/branch3x3dbl/Conv 24 29 32,35,35,64 Conv
tower/mixed_35x35x288b/branch3x3dbl/Conv_1 28 30 32,35,35,96 Conv
tower/mixed_35x35x288b/branch3x3dbl/Conv_2 29 33 32,35,35,96 Conv
tower/mixed_35x35x288b/branch_pool/AvgPool 24 32 32,35,35,288 AvgPool
tower/mixed_35x35x288b/branch_pool/Conv 31 33 32,35,35,64 Conv
tower/mixed_35x35x288b/concat 25,27,30,32 34,35,38 32,35,35,288 Concat
tower/mixed_17x17x768a/branch3x3/Conv 33 39 32,17,17,384 Conv
tower/mixed_17x17x768a/branch3x3dbl/Conv 33 36 32,35,35,64 Conv
tower/mixed_17x17x768a/branch3x3dbl/Conv_1 35 37 32,35,35,96 Conv
tower/mixed_17x17x768a/branch3x3dbl/Conv_2 36 39 32,17,17,96 Conv
tower/mixed_17x17x768a/branch_pool/MaxPool 33 39 32,17,17,288 MaxPool
tower/mixed_17x17x768a/concat 34,37,38 null 32,17,17,768 Concat
conv0/BatchNorm/beta null 0 32,0,0,0 beta
conv0/BatchNorm/moving_mean null 0 32,0,0,0 moving_mean
conv0/BatchNorm/moving_variance null 0 32,0,0,0 moving_variance
conv0/weights null 0 3,3,3,32 weights
conv1/BatchNorm/beta null 1 32,0,0,0 beta
conv1/BatchNorm/moving_mean null 1 32,0,0,0 moving_mean
conv1/BatchNorm/moving_variance null 1 32,0,0,0 moving_variance
conv1/weights null 1 3,3,32,32 weights
conv2/BatchNorm/beta null 2 64,0,0,0 beta
conv2/BatchNorm/moving_mean null 2 64,0,0,0 moving_mean
conv2/BatchNorm/moving_variance null 2 64,0,0,0 moving_variance
conv2/weights null 2 3,3,32,64 weights
conv3/BatchNorm/beta null 4 80,0,0,0 beta
conv3/BatchNorm/moving_mean null 4 80,0,0,0 moving_mean
conv3/BatchNorm/moving_variance null 4 80,0,0,0 moving_variance
conv3/weights null 4 1,1,64,80 weights
conv4/BatchNorm/beta null 5 192,0,0,0 beta
conv4/BatchNorm/moving_mean null 5 192,0,0,0 moving_mean
conv4/BatchNorm/moving_variance null 5 192,0,0,0 moving_variance
conv4/weights null 5 3,3,80,192 weights
mixed_35x35x256a/branch1x1/Conv/BatchNorm/beta null 7 64,0,0,0 beta
mixed_35x35x256a/branch1x1/Conv/BatchNorm/moving_mean null 7 64,0,0,0 moving_mean
mixed_35x35x256a/branch1x1/Conv/BatchNorm/moving_variance null 7 64,0,0,0 moving_variance
mixed_35x35x256a/branch1x1/Conv/weights null 7 1,1,192,64 weights
mixed_35x35x256a/branch5x5/Conv/BatchNorm/beta null 8 48,0,0,0 beta
mixed_35x35x256a/branch5x5/Conv/BatchNorm/moving_mean null 8 48,0,0,0 moving_mean
mixed_35x35x256a/branch5x5/Conv/BatchNorm/moving_variance null 8 48,0,0,0 moving_variance
mixed_35x35x256a/branch5x5/Conv/weights null 8 1,1,192,48 weights
mixed_35x35x256a/branch5x5/Conv_1/BatchNorm/beta null 9 64,0,0,0 beta
mixed_35x35x256a/branch5x5/Conv_1/BatchNorm/moving_mean null 9 64,0,0,0 moving_mean
mixed_35x35x256a/branch5x5/Conv_1/BatchNorm/moving_variance null 9 64,0,0,0 moving_variance
mixed_35x35x256a/branch5x5/Conv_1/weights null 9 5,5,48,64 weights
mixed_35x35x256a/branch3x3dbl/Conv/BatchNorm/beta null 10 64,0,0,0 beta
mixed_35x35x256a/branch3x3dbl/Conv/BatchNorm/moving_mean null 10 64,0,0,0 moving_mean
mixed_35x35x256a/branch3x3dbl/Conv/BatchNorm/moving_variance null 10 64,0,0,0 moving_variance
mixed_35x35x256a/branch3x3dbl/Conv/weights null 10 1,1,192,64 weights
mixed_35x35x256a/branch3x3dbl/Conv_1/BatchNorm/beta null 11 96,0,0,0 beta
mixed_35x35x256a/branch3x3dbl/Conv_1/BatchNorm/moving_mean null 11 96,0,0,0 moving_mean 
mixed_35x35x256a/branch3x3dbl/Conv_1/BatchNorm/moving_variance null 11 96,0,0,0 moving_variance
mixed_35x35x256a/branch3x3dbl/Conv_1/weights null 11 3,3,64,96 weights
mixed_35x35x256a/branch3x3dbl/Conv_2/BatchNorm/beta null 12 96,0,0,0 beta
mixed_35x35x256a/branch3x3dbl/Conv_2/BatchNorm/moving_mean null 12 96,0,0,0 moving_mean
mixed_35x35x256a/branch3x3dbl/Conv_2/BatchNorm/moving_variance null 12 96,0,0,0 moving_variance
mixed_35x35x256a/branch3x3dbl/Conv_2/weights null 12 3,3,96,96 weights
mixed_35x35x256a/branch_pool/Conv/BatchNorm/beta null 14 32,0,0,0 beta
mixed_35x35x256a/branch_pool/Conv/BatchNorm/moving_mean null 14 32,0,0,0 moving_mean
mixed_35x35x256a/branch_pool/Conv/BatchNorm/moving_variance null 14 32,0,0,0 moving_variance
mixed_35x35x256a/branch_pool/Conv/weights null 14 1,1,192,32 weights
mixed_35x35x288a/branch1x1/Conv/BatchNorm/beta null 16 64,0,0,0 beta
mixed_35x35x288a/branch1x1/Conv/BatchNorm/moving_mean null 16 64,0,0,0 moving_mean
mixed_35x35x288a/branch1x1/Conv/BatchNorm/moving_variance null 16 64,0,0,0 moving_variance
mixed_35x35x288a/branch1x1/Conv/weights null 16 1,1,256,64 weights
mixed_35x35x288a/branch5x5/Conv/BatchNorm/beta null 17 48,0,0,0 beta
mixed_35x35x288a/branch5x5/Conv/BatchNorm/moving_mean null 17 48,0,0,0 moving_mean
mixed_35x35x288a/branch5x5/Conv/BatchNorm/moving_variance null 17 48,0,0,0 moving_variance
mixed_35x35x288a/branch5x5/Conv/weights null 17 1,1,256,48 weights
mixed_35x35x288a/branch5x5/Conv_1/BatchNorm/beta null 18 64,0,0,0 beta
mixed_35x35x288a/branch5x5/Conv_1/BatchNorm/moving_mean null 18 64,0,0,0 moving_mean
mixed_35x35x288a/branch5x5/Conv_1/BatchNorm/moving_variance null 18 64,0,0,0 moving_variance
mixed_35x35x288a/branch5x5/Conv_1/weights null 18 5,5,48,64 weights
mixed_35x35x288a/branch3x3dbl/Conv/BatchNorm/beta null 19 64,0,0,0 beta
mixed_35x35x288a/branch3x3dbl/Conv/BatchNorm/moving_mean null 19 64,0,0,0 moving_mean
mixed_35x35x288a/branch3x3dbl/Conv/BatchNorm/moving_variance null 19 64,0,0,0 moving_variance
mixed_35x35x288a/branch3x3dbl/Conv/weights null 19 1,1,256,64 weights
mixed_35x35x288a/branch3x3dbl/Conv_1/BatchNorm/beta null 20 96,0,0,0 beta
mixed_35x35x288a/branch3x3dbl/Conv_1/BatchNorm/moving_mean null 20 96,0,0,0 moving_mean
mixed_35x35x288a/branch3x3dbl/Conv_1/BatchNorm/moving_variance null 20 96,0,0,0 moving_variance
mixed_35x35x288a/branch3x3dbl/Conv_1/weights null 20 3,3,64,96 weights
mixed_35x35x288a/branch3x3dbl/Conv_2/BatchNorm/beta null 21 96,0,0,0 beta
mixed_35x35x288a/branch3x3dbl/Conv_2/BatchNorm/moving_mean null 21 96,0,0,0 moving_mean
mixed_35x35x288a/branch3x3dbl/Conv_2/BatchNorm/moving_variance null 21 96,0,0,0 moving_variance
mixed_35x35x288a/branch3x3dbl/Conv_2/weights null 21 3,3,96,96 weights
mixed_35x35x288a/branch_pool/Conv/BatchNorm/beta null 23 64,0,0,0 beta
mixed_35x35x288a/branch_pool/Conv/BatchNorm/moving_mean null 23 64,0,0,0 moving_mean
mixed_35x35x288a/branch_pool/Conv/BatchNorm/moving_variance null 23 64,0,0,0 moving_variance
mixed_35x35x288a/branch_pool/Conv/weights null 23 1,1,256,64 weights
mixed_35x35x288b/branch1x1/Conv/BatchNorm/beta null 25 64,0,0,0 beta
mixed_35x35x288b/branch1x1/Conv/BatchNorm/moving_mean null 25 64,0,0,0 moving_mean
mixed_35x35x288b/branch1x1/Conv/BatchNorm/moving_variance null 25 64,0,0,0 moving_variance
mixed_35x35x288b/branch1x1/Conv/weights null 25 1,1,288,64 weights
mixed_35x35x288b/branch5x5/Conv/BatchNorm/beta null 26 48,0,0,0 beta
mixed_35x35x288b/branch5x5/Conv/BatchNorm/moving_mean null 26 48,0,0,0 moving_mean
mixed_35x35x288b/branch5x5/Conv/BatchNorm/moving_variance null 26 48,0,0,0 moving_variance
mixed_35x35x288b/branch5x5/Conv/weights null 26 1,1,288,48 weights
mixed_35x35x288b/branch5x5/Conv_1/BatchNorm/beta null 27 64,0,0,0 beta
mixed_35x35x288b/branch5x5/Conv_1/BatchNorm/moving_mean null 27 64,0,0,0 moving_mean
mixed_35x35x288b/branch5x5/Conv_1/BatchNorm/moving_variance null 27 64,0,0,0 moving_variance
mixed_35x35x288b/branch5x5/Conv_1/weights null 27 5,5,48,64 weights
mixed_35x35x288b/branch3x3dbl/Conv/BatchNorm/beta null 28 64,0,0,0 beta
mixed_35x35x288b/branch3x3dbl/Conv/BatchNorm/moving_mean null 28 64,0,0,0 moving_mean
